Group,Day,Method,Actions,Returns,Conversion Rate
0,0,A,6,1,0.166666666666667
0,0,B,6,0,0
0,1,A,10,0,0
0,1,B,10,0,0
0,2,A,11,4,0.363636363636364
0,2,B,11,1,0.090909090909091
0,3,A,10,3,0.3
0,3,B,10,0,0
0,4,A,7,4,0.571428571428571
0,4,B,7,1,0.142857142857143
0,5,A,13,4,0.307692307692308
0,5,B,13,2,0.153846153846154
0,6,A,16,4,0.25
0,6,B,16,1,0.0625
0,7,A,16,10,0.625
0,7,B,16,1,0.0625
0,8,A,7,2,0.285714285714286
0,8,B,7,0,0
0,9,A,15,5,0.333333333333333
0,9,B,15,0,0
0,10,A,12,1,0.083333333333333
0,10,B,12,0,0
0,11,A,12,6,0.5
0,11,B,12,1,0.083333333333333
0,12,A,6,3,0.5
0,12,B,6,0,0
0,13,A,7,3,0.428571428571429
0,13,B,7,0,0
0,14,A,6,0,0
0,14,B,6,0,0
0,15,A,11,6,0.545454545454545
0,15,B,11,1,0.090909090909091
0,16,A,10,4,0.4
0,16,B,10,0,0
0,17,A,11,3,0.272727272727273
0,17,B,11,1,0.090909090909091
0,18,A,15,0,0
0,18,B,15,0,0
0,19,A,13,1,0.076923076923077
0,19,B,13,1,0.076923076923077
0,20,A,14,5,0.357142857142857
0,20,B,14,1,0.071428571428572
0,21,A,8,4,0.5
0,21,B,8,0,0
0,22,A,13,6,0.461538461538462
0,22,B,13,0,0
0,23,A,13,7,0.538461538461538
0,23,B,13,1,0.076923076923077
0,24,A,9,4,0.444444444444444
0,24,B,9,0,0
0,25,A,15,4,0.266666666666667
0,25,B,15,1,0.066666666666667
0,26,A,7,3,0.428571428571429
0,26,B,7,0,0
0,27,A,6,3,0.5
0,27,B,6,0,0
0,28,A,11,6,0.545454545454545
0,28,B,11,1,0.090909090909091
0,29,A,15,5,0.333333333333333
0,29,B,15,2,0.133333333333333
0,30,A,14,6,0.428571428571429
0,30,B,14,0,0
0,31,A,14,4,0.285714285714286
0,31,B,14,0,0
0,32,A,9,2,0.222222222222222
0,32,B,9,0,0
0,33,A,6,2,0.333333333333333
0,33,B,6,0,0
0,34,A,12,0,0
0,34,B,12,1,0.083333333333333
0,35,A,8,1,0.125
0,35,B,8,0,0
0,36,A,12,0,0
0,36,B,12,1,0.083333333333333
0,37,A,7,0,0
0,37,B,7,0,0
0,38,A,15,8,0.533333333333333
0,38,B,15,0,0
0,39,A,7,2,0.285714285714286
0,39,B,7,0,0
0,40,A,14,8,0.571428571428571
0,40,B,14,2,0.142857142857143
0,41,A,13,6,0.461538461538462
0,41,B,13,1,0.076923076923077
0,42,A,5,2,0.4
0,42,B,5,0,0
0,43,A,7,2,0.285714285714286
0,43,B,7,0,0
0,44,A,7,4,0.571428571428571
0,44,B,7,0,0
0,45,A,9,1,0.111111111111111
0,45,B,9,1,0.111111111111111
0,46,A,8,1,0.125
0,46,B,8,0,0
0,47,A,14,1,0.071428571428572
0,47,B,14,0,0
